case_id,user_role,source,raw_feedback,ai_answer,user_rating,expected_behavior,business_impact,frequency,created_at
HR-014,employee,hr_ai_mvp,"报销流程怎么走，需要哪些材料？","请按公司政策执行。",1,"Provide steps, owner, materials, and timeline.",high,6,2026-05-07
OPS-001,ops_specialist,b2b_ops,"The approval is pending for three days after I submitted the contract change.","Please wait for the system to sync.",2,"Explain approval status path or route to ops support.",high,5,2026-05-08
OPS-002,ops_specialist,b2b_ops,"字段校验报错，customer_code 明明填了还是无法提交","请查看系统。",1,"Explain field rule and provide troubleshooting steps.",high,6,2026-05-08
OPS-003,ops_manager,b2b_ops,"Why was the order modified twice after one approval?","Maybe the system updated twice.",2,"Investigate duplicate modification logic and owner.",high,4,2026-05-09
OPS-004,ops_specialist,b2b_ops,"The settlement data is different from the BI dashboard.","Please contact support.",2,"Clarify possible data pipeline issue and escalation path.",high,4,2026-05-09
OPS-005,ops_specialist,b2b_ops,"客户问合同审批流程，我想确认每一步由谁处理","请按流程提交。",2,"Explain contract approval process with steps and owners.",medium,3,2026-05-10
OPS-006,ops_specialist,b2b_ops,"Abnormal submission warning appears after I edit the same record twice.","This is normal.",1,"Explain abnormal submission cause and recovery action.",high,3,2026-05-10
OPS-007,ops_specialist,b2b_ops,"工单里提示 data exception，但没有说明哪个字段异常","请联系相关部门。",2,"Point to specific field or escalation owner.",high,4,2026-05-11
OPS-008,ops_manager,b2b_ops,"How can I reopen a rejected merchant onboarding task?","You can reopen it in the portal.",3,"Provide menu path and conditions.",medium,3,2026-05-11
OPS-009,ops_specialist,b2b_ops,"审批延迟时应该找销售还是找运营？","请联系支持团队。",2,"Provide role boundary and escalation path.",medium,4,2026-05-12
OPS-010,data_analyst,b2b_ops,"The daily report duplicates rows after manual correction.","Please check backend.",2,"Explain data refresh logic or route to data team.",high,5,2026-05-12
OPS-011,ops_specialist,b2b_ops,"Merchant profile update shows field error for tax number format.","Please follow company policy.",2,"Explain format rule and provide a valid example.",medium,4,2026-05-13
OPS-012,ops_specialist,b2b_ops,"客户资料提交后一直显示处理中，正常时效是多少？","通常会处理。",3,"Provide expected SLA and follow-up route.",medium,3,2026-05-13
OPS-013,ops_manager,b2b_ops,"We changed the delivery mode once but the system created duplicate modification records.","Contact support.",2,"Identify duplicate modification risk and manual rollback path.",high,2,2026-05-14
OPS-014,ops_specialist,b2b_ops,"Where is the batch import entry for partner onboarding?","Please check the portal.",2,"Provide exact menu path and permission note.",medium,3,2026-05-14
ECOM-001,merchant,ecommerce_ops,"Campaign setup page says budget field is invalid but the number is correct.","Please check the system.",2,"Explain budget field rule and valid range.",high,4,2026-05-15
ECOM-002,merchant,ecommerce_ops,"活动创建流程怎么走，直播联动需要先做什么？","请按公司政策执行。",1,"Provide campaign setup steps and dependencies.",high,5,2026-05-15
ECOM-003,merchant,ecommerce_ops,"My product listing is stuck in review with no reason shown.","Please wait for approval.",2,"Provide likely causes and escalation route.",high,4,2026-05-16
ECOM-004,merchant,ecommerce_ops,"物流异常订单在哪里看，需要怎么处理？","请查看后台。",2,"Provide logistics dashboard path and recovery SOP.",high,5,2026-05-16
ECOM-005,merchant,ecommerce_ops,"Refund request was auto-approved but inventory was not returned.","This might be a system issue.",2,"Explain refund-after-sales data flow and owner.",high,4,2026-05-17
ECOM-006,merchant,ecommerce_ops,"商家入驻入口链接失效了，新同事找不到入口","请联系相关部门。",2,"Provide onboarding entry and backup route.",high,3,2026-05-17
ECOM-007,merchant,ecommerce_ops,"How do I add SKU images in bulk?","Go to product management.",3,"Provide step-by-step listing instruction.",medium,4,2026-05-18
ECOM-008,merchant,ecommerce_ops,"直播活动配置后没有同步到商品页，是系统延迟还是配置错了？","系统会自动同步。",2,"Clarify sync condition and troubleshooting steps.",high,3,2026-05-18
ECOM-009,merchant,ecommerce_ops,"我想修改店铺主营类目，但重复提交后页面提示异常","请查看系统。",1,"Explain duplicate modification risk and correct process.",high,3,2026-05-19
ECOM-010,merchant,ecommerce_ops,"退款工单应该由商家还是平台客服先处理？","请联系支持团队。",2,"Explain owner boundary and escalation path.",medium,3,2026-05-19
ECOM-011,merchant,ecommerce_ops,"Product listing page is too confusing and I cannot find compliance documents upload.","Please check backend.",2,"Provide product listing path and compliance upload steps.",medium,3,2026-05-20
ECOM-012,merchant,ecommerce_ops,"Where is the merchant onboarding checklist?","You can ask your AM.",3,"Provide self-service checklist path.",medium,2,2026-05-20
ECOM-013,merchant,ecommerce_ops,"Campaign setup page says budget field is invalid but the number is correct.","Please check the system.",2,"Explain budget field rule and valid range.",high,4,2026-05-21
ECOM-014,merchant,ecommerce_ops,"活动创建流程怎么走，直播联动需要先做什么？","请按公司政策执行。",1,"Provide campaign setup steps and dependencies.",high,5,2026-05-21
CS-001,customer,customer_support,"The answer is too generic. I still do not know how to reset my account password.","Please check the system.",1,"Provide concrete password reset path.",medium,5,2026-05-22
CS-002,customer,customer_support,"Why does the chatbot never offer a human agent when it cannot solve my billing issue?","Please follow company policy.",1,"Offer billing escalation to human support.",high,4,2026-05-22
CS-003,customer,customer_support,"知识库没有覆盖发票重开发票这个问题","暂无信息。",2,"Acknowledge knowledge gap and route to support.",medium,3,2026-05-23
CS-004,customer,customer_support,"The assistant skipped two steps when explaining how to download usage reports.","Go to reports.",2,"Provide full report download steps.",medium,4,2026-05-23
CS-005,customer,customer_support,"Where is the admin portal link for role management?","Please contact support.",2,"Provide admin portal link or documented path.",high,3,2026-05-24
CS-006,customer,customer_support,"The bot answered my refund question with shipping information.","Please see logistics policy.",1,"Answer refund question accurately or escalate.",high,2,2026-05-24
CS-007,customer,customer_support,"客服机器人回答很模糊，没有告诉我具体入口","请查看后台。",1,"Provide exact system entry and steps.",medium,4,2026-05-25
CS-008,customer,customer_support,"I asked for invoice steps but got only a generic company policy reply.","Please follow company policy.",2,"Provide invoice process details.",medium,3,2026-05-25
CS-009,customer,product_feedback,"The product usage guide misses the onboarding checklist for team admins.","Please contact the admin team.",3,"Provide checklist and where to find it.",medium,2,2026-05-26
CS-010,customer,product_feedback,"The system says permission denied but the AI assistant did not tell me which role is needed.","Please check the system.",2,"Explain permission requirement and path to request access.",high,3,2026-05-26
CS-011,customer,product_feedback,"No one told me there is a manual review for compliance-sensitive refunds.","Refunds are approved automatically.",1,"Clarify policy boundary and escalate compliance-sensitive cases.",high,2,2026-05-27
CS-012,customer,product_feedback,"How do I export my usage history?","You can export it from settings by clicking Usage, then Export History.",5,"Provide exact steps.",low,2,2026-05-27
CS-013,customer,customer_support,"The assistant keeps saying contact support without explaining anything.","Contact support.",1,"Provide at least one self-service step and escalation path.",medium,4,2026-05-27
CS-014,customer,product_feedback,"The knowledge base answer for merchant onboarding is outdated.","Please check the system.",2,"Acknowledge outdated knowledge and provide updated route.",medium,3,2026-05-27
HR-015,employee,hr_ai_mvp,"Where is the attendance correction entry?","Open the HR portal and click Attendance Center > Corrections > New Request.",5,"Provide exact menu path.",medium,2,2026-05-08
HR-016,employee,hr_ai_mvp,"Can interns apply for meal reimbursement?","Intern meal reimbursement follows standard local policy with manager approval and receipt upload.",4,"Clarify eligibility and materials.",medium,2,2026-05-09
OPS-015,ops_specialist,b2b_ops,"The batch upload page does not explain which template version is valid.","Download the latest template from Import Center and verify the version in the header before submitting.",4,"Provide self-service answer.",medium,2,2026-05-15
OPS-016,ops_specialist,b2b_ops,"Partner onboarding approval delay is causing SLA risk.","Create a support ticket with onboarding ID and notify the regional ops owner if it exceeds 24 hours.",4,"Give escalation rule with SLA.",high,2,2026-05-15
ECOM-015,merchant,ecommerce_ops,"How do I join the platform campaign calendar?","Open Campaign Center > Calendar > Apply and upload planned SKU list.",4,"Provide clear steps.",medium,2,2026-05-20
ECOM-016,merchant,ecommerce_ops,"What is the refund SLA after warehouse return is confirmed?","The usual SLA is 48 hours after warehouse confirmation, then finance settlement follows the normal cycle.",4,"Provide refund timeline.",medium,2,2026-05-20
CS-015,customer,customer_support,"The bot helped me find the role settings page quickly.","Go to Admin Console > Roles > Role Settings.",5,"Provide exact entry path.",low,1,2026-05-27
CS-016,customer,product_feedback,"The answer was clear and included the owner and timeline.","Submit from Settings > Billing > Invoice Requests, upload the tax document, and expect review within two business days.",5,"Provide clear answer.",low,1,2026-05-27
